Student ID,Student Name,Gender,Class,Subject,Study Hours,Attendance %,Assignment Score,Midterm Score,Final Exam Score,Overall Score
STU092,Student 092,Female,10th,English,3.9,90.9,60.0,55.8,77.0,69.5
STU047,Student 047,Male,9th,Computer Science,5.1,90.1,65.7,99.2,85.6,92.3
STU003,STUDENT 003,Male,9th,English,3.9,84.5,66.4,100.0,100.0,96.1
STU104,Student 104,Female,10th,Computer Science,2.8,73.3,70.4,83.2,83.2,69.7
STU099,Student 099,Male,12th,Physics,4.5,67.8,53.5,81.3,83.4,71.2
STU005,Student 005,Male,11th,Physics,3.5,79.9,38.4,81.9,77.4,65.4
STU050,Student 050,Male,11th,Chemistry,5.3,86.2,70.4,100.0,94.5,95.6
STU102,Student 102,Male,11th,Mathematics,3.6,72.9,54.9,57.5,44.6,62.9
STU009,Student 009,Female,10th,Chemistry,3.9,80.4,92.2,69.3,77.8,80.6
STU147,Student 147,Female,11th,Computer Science,3.8,98.0,38.1,76.6,50.6,71.1
STU015,Student 015,Unknown,10th,English,4.6,89.0,51.4,70.7,71.4,72.5
STU095,Student 095,Female,11th,Chemistry,1.9,88.7,56.0,50.2,72.5,69.0
STU118,Student 118,Female,10th,English,5.5,82.7,78.9,77.3,79.9,86.0
STU125,Student 125,Female,12th,Mathematics,3.0,78.7,71.5,72.7,38.9,60.9
STU138,Student 138,Male,11th,English,4.2,94.4,63.5,69.8,63.6,71.6
STU052,Student 052,Female,10th,Chemistry,4.8,91.4,90.6,87.5,69.1,77.0
STU017,Student 017,Male,12th,Physics,2.1,75.0,46.2,76.8,49.4,61.5
STU134,Student 134,Female,9th,Computer Science,1.3,73.6,64.9,65.6,38.6,58.8
STU136,Student 136,Male,9th,Computer Science,5.7,85.5,65.2,93.8,91.5,92.6
STU025,Student 025,Female,9th,Computer Science,3.7,87.7,79.1,66.8,75.8,72.7
STU044,Student 044,Female,10th,Mathematics,5.2,89.1,85.9,100.0,97.1,95.7
STU010,Student 010,Male,10th,Chemistry,3.8,84.6,63.1,83.4,60.6,70.2
STU086,Student 086,Female,10th,English,1.8,79.8,60.7,84.6,75.9,73.2
STU150,Student 150,Male,12th,Computer Science,4.9,89.6,88.3,99.7,83.4,91.5
STU081,Student 081,Female,10th,Mathematics,4.2,58.7,55.2,60.2,62.7,57.4
STU106,Student 106,Female,9th,Chemistry,3.8,83.5,57.5,79.6,62.0,74.8
STU109,Student 109,Female,11th,Chemistry,2.1,83.95,45.8,51.7,59.3,56.3
STU041,Student 041,Male,12th,Mathematics,3.9,90.9,71.0,74.9,59.0,69.1
STU085,Student 085,Male,10th,Physics,3.8,82.5,79.5,73.6,67.0,69.7
STU066,Student 066,Male,12th,English,6.4,83.95,91.3,97.7,71.9,78.7
STU101,Student 101,Female,10th,Mathematics,4.9,88.2,88.8,81.8,95.5,93.5
STU146,Student 146,Male,9th,English,2.9,83.3,76.7,64.4,54.4,60.3
STU091,Student 091,Female,11th,Physics,1.4,79.0,35.1,53.9,29.4,45.3
STU007,Student 007,Male,12th,Physics,3.7,94.3,88.2,96.5,74.0,86.2
STU123,Student 123,Female,11th,Computer Science,3.7,70.6,60.4,76.4,63.7,62.0
STU090,Student 090,Male,11th,Mathematics,3.8,84.2,75.6,79.15,73.4,59.9
STU058,Student 058,Male,11th,Computer Science,2.8,91.5,52.7,61.4,47.2,59.2
STU111,Student 111,Male,10th,Chemistry,3.4,76.2,64.0,74.2,74.5,70.5
STU031,Student 031,Male,12th,Computer Science,4.4,73.8,75.5,75.0,50.9,59.6
STU016,Student 016,Female,10th,Computer Science,1.8,66.5,54.1,48.3,54.1,63.1
STU082,Student 082,Female,9th,Computer Science,4.6,82.7,79.6,75.8,84.9,85.5
STU071,Student 071,Male,12th,English,1.8,54.6,38.3,42.5,45.5,46.2
STU075,Student 075,Female,11th,Physics,4.8,96.7,85.2,97.3,91.1,84.7
STU113,Student 113,Female,9th,Chemistry,4.0,86.9,48.0,83.2,79.5,80.5
STU127,Student 127,Male,11th,English,4.4,78.3,67.1,100.0,95.9,90.2
STU117,Student 117,Female,12th,Physics,3.2,76.5,46.8,85.6,74.8,68.7
STU110,Student 110,Male,12th,English,4.7,100.0,54.8,81.7,97.6,92.7
STU098,Student 098,Male,11th,English,5.8,76.7,89.5,95.4,88.0,82.6
STU045,Student 045,Female,9th,English,3.1,80.7,71.0,88.3,55.6,61.8
STU121,Student 121,Female,12th,Computer Science,1.7,89.5,70.0,42.7,56.4,67.5
STU137,Student 137,Male,9th,Physics,4.7,85.6,65.6,100.0,90.1,78.8
STU027,Student 027,Female,9th,Physics,5.2,100.0,96.6,100.0,94.2,96.0
STU093,Student 093,Female,10th,Chemistry,2.2,83.95,45.2,76.6,52.6,64.1
STU011,Student 011,Female,10th,Mathematics,3.5,78.2,87.3,69.4,85.6,73.0
STU051,Student 051,Female,10th,Chemistry,3.9,98.5,56.2,43.6,56.5,57.6
STU026,Student 026,Male,11th,Chemistry,4.0,81.8,53.2,55.9,47.2,54.3
STU119,Student 119,Female,11th,Mathematics,6.6,96.8,68.4,96.3,82.7,80.2
